onset	duration	channel	onset_sample_idx	event_type	target_sequence	keypress_id	finger_label	trial_number
11.4883333333333	0	UPPT001	6894	StartPractice	21342	n/a	n/a	1
12.7283333333333	0	n/a	7638	KeyDown	21342	2	Ring	1
13.1500000000000	0	n/a	7891	KeyDown	21342	1	Little	1
13.4650000000000	0	n/a	8080	KeyDown	21342	3	Middle	1
13.9416666666667	0	n/a	8366	KeyDown	21342	4	Index	1
14.4016666666667	0	n/a	8642	KeyDown	21342	2	Ring	1
14.7866666666667	0	n/a	8873	KeyDown	21342	2	Ring	1
14.9983333333333	0	n/a	9000	KeyDown	21342	1	Little	1
15.1766666666667	0	n/a	9107	KeyDown	21342	3	Middle	1
15.4683333333333	0	n/a	9282	KeyDown	21342	4	Index	1
15.7616666666667	0	n/a	9458	KeyDown	21342	2	Ring	1
16.1900000000000	0	n/a	9715	KeyDown	21342	2	Ring	1
16.3916666666667	0	n/a	9836	KeyDown	21342	1	Little	1
16.5550000000000	0	n/a	9934	KeyDown	21342	3	Middle	1
16.8550000000000	0	n/a	10114	KeyDown	21342	4	Index	1
17.0316666666667	0	n/a	10220	KeyDown	21342	2	Ring	1
17.4416666666667	0	n/a	10466	KeyDown	21342	2	Ring	1
17.6766666666667	0	n/a	10607	KeyDown	21342	1	Little	1
17.8683333333333	0	n/a	10722	KeyDown	21342	3	Middle	1
18.1516666666667	0	n/a	10892	KeyDown	21342	4	Index	1
18.3416666666667	0	n/a	11006	KeyDown	21342	2	Ring	1
18.8050000000000	0	n/a	11284	KeyDown	21342	2	Ring	1
19.0300000000000	0	n/a	11419	KeyDown	21342	1	Little	1
19.3133333333333	0	n/a	11589	KeyDown	21342	3	Middle	1
19.7200000000000	0	n/a	11833	KeyDown	21342	4	Index	1
19.8766666666667	0	n/a	11927	KeyDown	21342	2	Ring	1
20.2883333333333	0	n/a	12174	KeyDown	21342	2	Ring	1
20.6716666666667	0	n/a	12404	KeyDown	21342	3	Middle	1
20.6883333333333	0	n/a	12414	KeyDown	21342	1	Little	1
20.9316666666667	0	n/a	12560	KeyDown	21342	3	Middle	1
21.3016666666667	0	n/a	12782	KeyDown	21342	4	Index	1
21.4900000000000	0	n/a	12895	KeyDown	21342	2	Ring	1
21.5266666666667	0	n/a	12917	StopPractice	21342	n/a	n/a	1
21.5283333333333	0	n/a	12918	StartRest	XXXXX	n/a	n/a	1
31.5833333333333	0	n/a	18951	StopRest	XXXXX	n/a	n/a	1
31.5850000000000	0	UPPT001	18952	StartPractice	31214	n/a	n/a	2
32.5416666666667	0	n/a	19526	KeyDown	31214	3	Middle	2
32.9516666666667	0	n/a	19772	KeyDown	31214	1	Little	2
33.2916666666667	0	n/a	19976	KeyDown	31214	2	Ring	2
33.6433333333333	0	n/a	20187	KeyDown	31214	1	Little	2
33.8816666666667	0	n/a	20330	KeyDown	31214	4	Index	2
34.3033333333333	0	n/a	20583	KeyDown	31214	3	Middle	2
34.4633333333333	0	n/a	20679	KeyDown	31214	1	Little	2
34.6416666666667	0	n/a	20786	KeyDown	31214	2	Ring	2
35.0783333333333	0	n/a	21048	KeyDown	31214	1	Little	2
35.3916666666667	0	n/a	21236	KeyDown	31214	4	Index	2
35.8733333333333	0	n/a	21525	KeyDown	31214	3	Middle	2
35.9816666666667	0	n/a	21590	KeyDown	31214	1	Little	2
36.2216666666667	0	n/a	21734	KeyDown	31214	2	Ring	2
36.3883333333333	0	n/a	21834	KeyDown	31214	1	Little	2
36.6866666666667	0	n/a	22013	KeyDown	31214	4	Index	2
37.2583333333333	0	n/a	22356	KeyDown	31214	3	Middle	2
37.3566666666667	0	n/a	22415	KeyDown	31214	1	Little	2
37.5683333333333	0	n/a	22542	KeyDown	31214	2	Ring	2
37.7066666666667	0	n/a	22625	KeyDown	31214	1	Little	2
38.0133333333333	0	n/a	22809	KeyDown	31214	4	Index	2
