onset	duration	channel	onset_sample_idx	event_type	target_sequence	keypress_id	finger_label	trial_number
11.7766666666667	0	UPPT001	7067	StartPractice	21342	n/a	n/a	1
13.4683333333333	0	n/a	8082	KeyDown	21342	2	Ring	1
13.6833333333333	0	n/a	8211	KeyDown	21342	1	Little	1
13.9433333333333	0	n/a	8367	KeyDown	21342	3	Middle	1
14.2600000000000	0	n/a	8557	KeyDown	21342	4	Index	1
14.6616666666667	0	n/a	8798	KeyDown	21342	1	Little	1
16.3116666666667	0	n/a	9788	KeyDown	21342	2	Ring	1
16.5750000000000	0	n/a	9946	KeyDown	21342	1	Little	1
17.0416666666667	0	n/a	10226	KeyDown	21342	3	Middle	1
18.3066666666667	0	n/a	10985	KeyDown	21342	4	Index	1
18.9866666666667	0	n/a	11393	KeyDown	21342	2	Ring	1
19.6133333333333	0	n/a	11769	KeyDown	21342	2	Ring	1
19.8300000000000	0	n/a	11899	KeyDown	21342	1	Little	1
20.6700000000000	0	n/a	12403	KeyDown	21342	3	Middle	1
21.1900000000000	0	n/a	12715	KeyDown	21342	4	Index	1
21.6000000000000	0	n/a	12961	KeyDown	21342	2	Ring	1
21.8150000000000	0	n/a	13090	StopPractice	21342	n/a	n/a	1
21.8166666666667	0	n/a	13091	StartRest	XXXXX	n/a	n/a	1
31.8416666666667	0	n/a	19106	StopRest	XXXXX	n/a	n/a	1
31.8433333333333	0	UPPT001	19107	StartPractice	31214	n/a	n/a	2
33.2850000000000	0	n/a	19972	KeyDown	31214	3	Middle	2
33.5916666666667	0	n/a	20156	KeyDown	31214	1	Little	2
33.9200000000000	0	n/a	20353	KeyDown	31214	2	Ring	2
34.3616666666667	0	n/a	20618	KeyDown	31214	1	Little	2
34.9916666666667	0	n/a	20996	KeyDown	31214	4	Index	2
35.7566666666667	0	n/a	21455	KeyDown	31214	3	Middle	2
36.3500000000000	0	n/a	21811	KeyDown	31214	1	Little	2
36.9866666666667	0	n/a	22193	KeyDown	31214	2	Ring	2
37.4250000000000	0	n/a	22456	KeyDown	31214	1	Little	2
37.7016666666667	0	n/a	22622	KeyDown	31214	4	Index	2
38.3183333333333	0	n/a	22992	KeyDown	31214	3	Middle	2
38.6700000000000	0	n/a	23203	KeyDown	31214	1	Little	2
39.1250000000000	0	n/a	23476	KeyDown	31214	2	Ring	2
39.4416666666667	0	n/a	23666	KeyDown	31214	1	Little	2
39.6500000000000	0	n/a	23791	KeyDown	31214	4	Index	2
40.0783333333333	0	n/a	24048	KeyDown	31214	3	Middle	2
40.5000000000000	0	n/a	24301	KeyDown	31214	1	Little	2
41.2716666666667	0	n/a	24764	KeyDown	31214	2	Ring	2
41.5483333333333	0	n/a	24930	KeyDown	31214	1	Little	2
41.8583333333333	0	n/a	25116	KeyDown	31214	4	Index	2
41.8816666666667	0	n/a	25130	StopPractice	31214	n/a	n/a	2
41.8833333333333	0	n/a	25131	StartRest	XXXXX	n/a	n/a	2
51.9166666666667	0	n/a	31151	StopRest	XXXXX	n/a	n/a	2
51.9183333333333	0	UPPT001	31152	StartPractice	12434	n/a	n/a	3
52.7050000000000	0	n/a	31624	KeyDown	12434	1	Little	3
53.0950000000000	0	n/a	31858	KeyDown	12434	2	Ring	3
53.6816666666667	0	n/a	32210	KeyDown	12434	4	Index	3
54.3450000000000	0	n/a	32608	KeyDown	12434	3	Middle	3
54.6233333333333	0	n/a	32775	KeyDown	12434	4	Index	3
54.9266666666667	0	n/a	32957	KeyDown	12434	1	Little	3
55.1850000000000	0	n/a	33112	KeyDown	12434	2	Ring	3
55.9066666666667	0	n/a	33545	KeyDown	12434	4	Index	3
56.4000000000000	0	n/a	33841	KeyDown	12434	3	Middle	3
56.6150000000000	0	n/a	33970	KeyDown	12434	4	Index	3
56.8550000000000	0	n/a	34114	KeyDown	12434	1	Little	3
57.1016666666667	0	n/a	34262	KeyDown	12434	2	Ring	3
57.4750000000000	0	n/a	34486	KeyDown	12434	4	Index	3
57.9300000000000	0	n/a	34759	KeyDown	12434	3	Middle	3
58.1416666666667	0	n/a	34886	KeyDown	12434	4	Index	3
58.4033333333333	0	n/a	35043	KeyDown	12434	1	Little	3
58.6366666666667	0	n/a	35183	KeyDown	12434	2	Ring	3
58.9266666666667	0	n/a	35357	KeyDown	12434	3	Middle	3
60.1166666666667	0	n/a	36071	KeyDown	12434	1	Little	3
60.3950000000000	0	n/a	36238	KeyDown	12434	2	Ring	3
60.7566666666667	0	n/a	36455	KeyDown	12434	4	Index	3
61.5133333333333	0	n/a	36909	KeyDown	12434	3	Middle	3
61.7066666666667	0	n/a	37025	KeyDown	12434	4	Index	3
61.9566666666667	0	n/a	37175	StopPractice	12434	n/a	n/a	3
61.9583333333333	0	n/a	37176	StartRest	XXXXX	n/a	n/a	3
71.9916666666667	0	n/a	43196	StopRest	XXXXX	n/a	n/a	3
71.9933333333333	0	UPPT001	43197	StartPractice	41321	n/a	n/a	4
73.1333333333333	0	n/a	43881	KeyDown	41321	4	Index	4
73.3250000000000	0	n/a	43996	KeyDown	41321	1	Little	4
73.6350000000000	0	n/a	44182	KeyDown	41321	3	Middle	4
73.9466666666667	0	n/a	44369	KeyDown	41321	2	Ring	4
74.3316666666667	0	n/a	44600	KeyDown	41321	1	Little	4
75.6966666666667	0	n/a	45419	KeyDown	41321	4	Index	4
75.9716666666667	0	n/a	45584	KeyDown	41321	1	Little	4
76.5550000000000	0	n/a	45934	KeyDown	41321	3	Middle	4
76.9633333333333	0	n/a	46179	KeyDown	41321	2	Ring	4
77.2950000000000	0	n/a	46378	KeyDown	41321	1	Little	4
78.0150000000000	0	n/a	46810	KeyDown	41321	4	Index	4
78.3450000000000	0	n/a	47008	KeyDown	41321	1	Little	4
78.6366666666667	0	n/a	47183	KeyDown	41321	3	Middle	4
78.7250000000000	0	n/a	47236	KeyDown	41321	2	Ring	4
78.9200000000000	0	n/a	47353	KeyDown	41321	2	Ring	4
79.4700000000000	0	n/a	47683	KeyDown	41321	1	Little	4
79.9266666666667	0	n/a	47957	KeyDown	41321	4	Index	4
80.4000000000000	0	n/a	48241	KeyDown	41321	1	Little	4
80.7816666666667	0	n/a	48470	KeyDown	41321	3	Middle	4
81.0183333333333	0	n/a	48612	KeyDown	41321	2	Ring	4
81.2216666666667	0	n/a	48734	KeyDown	41321	1	Little	4
81.4916666666667	0	n/a	48896	KeyDown	41321	4	Index	4
82.0316666666667	0	n/a	49220	StopPractice	41321	n/a	n/a	4
82.0333333333333	0	n/a	49221	StartRest	XXXXX	n/a	n/a	4
92.0666666666667	0	n/a	55241	StopRest	XXXXX	n/a	n/a	4
92.0683333333333	0	UPPT001	55242	StartPractice	23241	n/a	n/a	5
93.2350000000000	0	n/a	55942	KeyDown	23241	2	Ring	5
93.6016666666667	0	n/a	56162	KeyDown	23241	3	Middle	5
93.8866666666667	0	n/a	56333	KeyDown	23241	1	Little	5
94.6950000000000	0	n/a	56818	KeyDown	23241	2	Ring	5
95.0683333333333	0	n/a	57042	KeyDown	23241	3	Middle	5
95.3300000000000	0	n/a	57199	KeyDown	23241	2	Ring	5
95.7233333333333	0	n/a	57435	KeyDown	23241	4	Index	5
95.8916666666667	0	n/a	57536	KeyDown	23241	1	Little	5
96.2766666666667	0	n/a	57767	KeyDown	23241	2	Ring	5
96.5033333333333	0	n/a	57903	KeyDown	23241	3	Middle	5
96.7233333333333	0	n/a	58035	KeyDown	23241	2	Ring	5
97.0766666666667	0	n/a	58247	KeyDown	23241	4	Index	5
97.2350000000000	0	n/a	58342	KeyDown	23241	1	Little	5
97.6050000000000	0	n/a	58564	KeyDown	23241	2	Ring	5
97.7966666666667	0	n/a	58679	KeyDown	23241	3	Middle	5
98.0200000000000	0	n/a	58813	KeyDown	23241	2	Ring	5
98.2600000000000	0	n/a	58957	KeyDown	23241	4	Index	5
98.4483333333333	0	n/a	59070	KeyDown	23241	1	Little	5
98.7250000000000	0	n/a	59236	KeyDown	23241	2	Ring	5
98.8966666666667	0	n/a	59339	KeyDown	23241	3	Middle	5
99.0650000000000	0	n/a	59440	KeyDown	23241	2	Ring	5
99.2800000000000	0	n/a	59569	KeyDown	23241	4	Index	5
99.4650000000000	0	n/a	59680	KeyDown	23241	1	Little	5
99.6833333333333	0	n/a	59811	KeyDown	23241	2	Ring	5
99.9200000000000	0	n/a	59953	KeyDown	23241	3	Middle	5
100.1250000000000	0	n/a	60076	KeyDown	23241	2	Ring	5
100.5216666666667	0	n/a	60314	KeyDown	23241	4	Index	5
100.7000000000000	0	n/a	60421	KeyDown	23241	1	Little	5
100.9566666666667	0	n/a	60575	KeyDown	23241	2	Ring	5
101.1216666666667	0	n/a	60674	KeyDown	23241	3	Middle	5
101.3366666666667	0	n/a	60803	KeyDown	23241	2	Ring	5
101.5700000000000	0	n/a	60943	KeyDown	23241	4	Index	5
101.7133333333333	0	n/a	61029	KeyDown	23241	1	Little	5
102.0066666666667	0	n/a	61205	KeyDown	23241	2	Ring	5
102.1066666666667	0	n/a	61265	StopPractice	23241	n/a	n/a	5
102.1083333333333	0	n/a	61266	StartRest	XXXXX	n/a	n/a	5
112.1416666666667	0	n/a	67286	StopRest	XXXXX	n/a	n/a	5
112.1433333333333	0	UPPT001	67287	StartPractice	31432	n/a	n/a	6
113.2050000000000	0	n/a	67924	KeyDown	31432	3	Middle	6
113.4400000000000	0	n/a	68065	KeyDown	31432	1	Little	6
113.8800000000000	0	n/a	68329	KeyDown	31432	4	Index	6
114.3133333333333	0	n/a	68589	KeyDown	31432	3	Middle	6
114.5550000000000	0	n/a	68734	KeyDown	31432	2	Ring	6
115.0350000000000	0	n/a	69022	KeyDown	31432	3	Middle	6
115.2400000000000	0	n/a	69145	KeyDown	31432	1	Little	6
115.8850000000000	0	n/a	69532	KeyDown	31432	4	Index	6
116.4250000000000	0	n/a	69856	KeyDown	31432	3	Middle	6
116.6416666666667	0	n/a	69986	KeyDown	31432	2	Ring	6
117.1050000000000	0	n/a	70264	KeyDown	31432	3	Middle	6
117.3600000000000	0	n/a	70417	KeyDown	31432	1	Little	6
117.8450000000000	0	n/a	70708	KeyDown	31432	4	Index	6
118.3583333333333	0	n/a	71016	KeyDown	31432	2	Ring	6
118.6650000000000	0	n/a	71200	KeyDown	31432	3	Middle	6
118.9000000000000	0	n/a	71341	KeyDown	31432	2	Ring	6
119.3633333333333	0	n/a	71619	KeyDown	31432	3	Middle	6
119.6433333333333	0	n/a	71787	KeyDown	31432	1	Little	6
120.1433333333333	0	n/a	72087	KeyDown	31432	4	Index	6
120.9850000000000	0	n/a	72592	KeyDown	31432	3	Middle	6
121.2266666666667	0	n/a	72737	KeyDown	31432	2	Ring	6
121.7500000000000	0	n/a	73051	KeyDown	31432	3	Middle	6
122.1300000000000	0	n/a	73279	KeyDown	31432	1	Little	6
122.1816666666667	0	n/a	73310	StopPractice	31432	n/a	n/a	6
122.1833333333333	0	n/a	73311	StartRest	XXXXX	n/a	n/a	6
132.2166666666667	0	n/a	79331	StopRest	XXXXX	n/a	n/a	6
132.2183333333333	0	UPPT001	79332	StartPractice	23134	n/a	n/a	7
133.1816666666667	0	n/a	79910	KeyDown	23134	2	Ring	7
133.4083333333333	0	n/a	80046	KeyDown	23134	3	Middle	7
133.7400000000000	0	n/a	80245	KeyDown	23134	1	Little	7
134.1600000000000	0	n/a	80497	KeyDown	23134	3	Middle	7
134.5516666666667	0	n/a	80732	KeyDown	23134	4	Index	7
135.7600000000000	0	n/a	81457	KeyDown	23134	2	Ring	7
135.9983333333333	0	n/a	81600	KeyDown	23134	1	Little	7
136.6216666666667	0	n/a	81974	KeyDown	23134	3	Middle	7
138.3150000000000	0	n/a	82990	KeyDown	23134	4	Index	7
140.6750000000000	0	n/a	84406	KeyDown	23134	2	Ring	7
141.0100000000000	0	n/a	84607	KeyDown	23134	3	Middle	7
141.2633333333333	0	n/a	84759	KeyDown	23134	1	Little	7
141.5483333333333	0	n/a	84930	KeyDown	23134	4	Index	7
142.2566666666667	0	n/a	85355	StopPractice	23134	n/a	n/a	7
142.2583333333334	0	n/a	85356	StartRest	XXXXX	n/a	n/a	7
152.2916666666667	0	n/a	91376	StopRest	XXXXX	n/a	n/a	7
152.2933333333334	0	UPPT001	91377	StartPractice	12134	n/a	n/a	8
152.9516666666667	0	n/a	91772	KeyDown	12134	1	Little	8
153.1516666666667	0	n/a	91892	KeyDown	12134	2	Ring	8
153.3566666666667	0	n/a	92015	KeyDown	12134	1	Little	8
153.7983333333333	0	n/a	92280	KeyDown	12134	3	Middle	8
153.9966666666667	0	n/a	92399	KeyDown	12134	4	Index	8
154.3416666666667	0	n/a	92606	KeyDown	12134	1	Little	8
154.5566666666667	0	n/a	92735	KeyDown	12134	2	Ring	8
154.7466666666667	0	n/a	92849	KeyDown	12134	1	Little	8
155.2000000000000	0	n/a	93121	KeyDown	12134	3	Middle	8
155.3950000000000	0	n/a	93238	KeyDown	12134	4	Index	8
155.8050000000000	0	n/a	93484	KeyDown	12134	1	Little	8
155.9766666666667	0	n/a	93587	KeyDown	12134	2	Ring	8
156.2066666666667	0	n/a	93725	KeyDown	12134	1	Little	8
156.6783333333333	0	n/a	94008	KeyDown	12134	3	Middle	8
156.8666666666667	0	n/a	94121	KeyDown	12134	4	Index	8
157.2750000000000	0	n/a	94366	KeyDown	12134	1	Little	8
157.4616666666667	0	n/a	94478	KeyDown	12134	2	Ring	8
157.7083333333333	0	n/a	94626	KeyDown	12134	1	Little	8
158.0933333333333	0	n/a	94857	KeyDown	12134	3	Middle	8
158.2900000000000	0	n/a	94975	KeyDown	12134	4	Index	8
158.5950000000000	0	n/a	95158	KeyDown	12134	1	Little	8
158.8100000000000	0	n/a	95287	KeyDown	12134	2	Ring	8
158.9783333333334	0	n/a	95388	KeyDown	12134	1	Little	8
159.2566666666667	0	n/a	95555	KeyDown	12134	3	Middle	8
159.4116666666667	0	n/a	95648	KeyDown	12134	4	Index	8
159.6400000000000	0	n/a	95785	KeyDown	12134	1	Little	8
159.8350000000000	0	n/a	95902	KeyDown	12134	2	Ring	8
160.0200000000000	0	n/a	96013	KeyDown	12134	1	Little	8
160.3450000000000	0	n/a	96208	KeyDown	12134	3	Middle	8
160.5166666666667	0	n/a	96311	KeyDown	12134	4	Index	8
160.7916666666667	0	n/a	96476	KeyDown	12134	1	Little	8
161.0066666666667	0	n/a	96605	KeyDown	12134	1	Little	8
161.1400000000000	0	n/a	96685	KeyDown	12134	2	Ring	8
161.3650000000000	0	n/a	96820	KeyDown	12134	4	Index	8
161.9983333333333	0	n/a	97200	KeyDown	12134	3	Middle	8
162.3316666666667	0	n/a	97400	StopPractice	12134	n/a	n/a	8
162.3333333333333	0	n/a	97401	StartRest	XXXXX	n/a	n/a	8
172.3666666666667	0	n/a	103421	StopRest	XXXXX	n/a	n/a	8
172.3683333333333	0	UPPT001	103422	StartPractice	43241	n/a	n/a	9
173.2033333333333	0	n/a	103923	KeyDown	43241	4	Index	9
173.6550000000000	0	n/a	104194	KeyDown	43241	3	Middle	9
174.0016666666667	0	n/a	104402	KeyDown	43241	2	Ring	9
174.4866666666667	0	n/a	104693	KeyDown	43241	4	Index	9
174.7516666666667	0	n/a	104852	KeyDown	43241	1	Little	9
175.2016666666667	0	n/a	105122	KeyDown	43241	4	Index	9
175.5233333333333	0	n/a	105315	KeyDown	43241	3	Middle	9
175.7283333333334	0	n/a	105438	KeyDown	43241	2	Ring	9
176.0416666666667	0	n/a	105626	KeyDown	43241	4	Index	9
176.1900000000000	0	n/a	105715	KeyDown	43241	1	Little	9
176.4683333333333	0	n/a	105882	KeyDown	43241	4	Index	9
176.5966666666667	0	n/a	105959	KeyDown	43241	3	Middle	9
176.6116666666667	0	n/a	105968	KeyDown	43241	2	Ring	9
176.7616666666667	0	n/a	106058	KeyDown	43241	2	Ring	9
177.9783333333334	0	n/a	106788	KeyDown	43241	4	Index	9
178.0850000000000	0	n/a	106852	KeyDown	43241	2	Ring	9
178.1416666666667	0	n/a	106886	KeyDown	43241	3	Middle	9
178.7700000000000	0	n/a	107263	KeyDown	43241	4	Index	9
178.9250000000000	0	n/a	107356	KeyDown	43241	1	Little	9
179.3433333333333	0	n/a	107607	KeyDown	43241	4	Index	9
179.3850000000000	0	n/a	107632	KeyDown	43241	3	Middle	9
179.5300000000000	0	n/a	107719	KeyDown	43241	2	Ring	9
180.1333333333334	0	n/a	108081	KeyDown	43241	4	Index	9
180.3016666666667	0	n/a	108182	KeyDown	43241	1	Little	9
180.6350000000000	0	n/a	108382	KeyDown	43241	4	Index	9
180.7400000000000	0	n/a	108445	KeyDown	43241	3	Middle	9
180.7450000000000	0	n/a	108448	KeyDown	43241	2	Ring	9
181.1900000000000	0	n/a	108715	KeyDown	43241	4	Index	9
181.3666666666667	0	n/a	108821	KeyDown	43241	1	Little	9
181.6766666666667	0	n/a	109007	KeyDown	43241	4	Index	9
181.7900000000000	0	n/a	109075	KeyDown	43241	2	Ring	9
181.7950000000000	0	n/a	109078	KeyDown	43241	3	Middle	9
182.2000000000000	0	n/a	109321	KeyDown	43241	4	Index	9
182.4066666666667	0	n/a	109445	StopPractice	43241	n/a	n/a	9
182.4083333333333	0	n/a	109446	StartRest	XXXXX	n/a	n/a	9
192.4433333333334	0	n/a	115467	StopRest	XXXXX	n/a	n/a	9
