onset	duration	channel	onset_sample_idx	event_type	target_sequence	keypress_id	finger_label	trial_number
7.7833333333333	0	UPPT001	4671	StartPractice	21342	n/a	n/a	1
-120.0000000000000	0	n/a	NaN	KeyDown	21342	2	Ring	1
10.1816666666667	0	n/a	6110	KeyDown	21342	1	Little	1
11.3016666666667	0	n/a	6782	KeyDown	21342	3	Middle	1
12.3166666666667	0	n/a	7391	KeyDown	21342	4	Index	1
-120.0000000000000	0	n/a	NaN	KeyDown	21342	2	Ring	1
-120.0000000000000	0	n/a	NaN	KeyDown	21342	2	Ring	1
13.7933333333333	0	n/a	8277	KeyDown	21342	1	Little	1
14.1016666666667	0	n/a	8462	KeyDown	21342	3	Middle	1
14.3583333333333	0	n/a	8616	KeyDown	21342	4	Index	1
-120.0000000000000	0	n/a	NaN	KeyDown	21342	2	Ring	1
-120.0000000000000	0	n/a	NaN	KeyDown	21342	2	Ring	1
15.2233333333333	0	n/a	9135	KeyDown	21342	1	Little	1
15.6266666666667	0	n/a	9377	KeyDown	21342	3	Middle	1
16.2700000000000	0	n/a	9763	KeyDown	21342	4	Index	1
-120.0000000000000	0	n/a	NaN	KeyDown	21342	2	Ring	1
-120.0000000000000	0	n/a	NaN	KeyDown	21342	2	Ring	1
17.2200000000000	0	n/a	10333	KeyDown	21342	1	Little	1
17.6133333333333	0	n/a	10569	KeyDown	21342	3	Middle	1
17.8216666666667	0	n/a	10694	StopPractice	21342	n/a	n/a	1
17.8233333333333	0	n/a	10695	StartRest	XXXXX	n/a	n/a	1
27.8616666666667	0	n/a	16718	StopRest	XXXXX	n/a	n/a	1
27.8633333333333	0	UPPT001	16719	StartPractice	42431	n/a	n/a	2
29.3816666666667	0	n/a	17630	KeyDown	42431	4	Index	2
29.6850000000000	0	n/a	17812	KeyDown	42431	1	Little	2
30.9466666666667	0	n/a	18569	KeyDown	42431	4	Index	2
31.4916666666667	0	n/a	18896	KeyDown	42431	3	Middle	2
31.7733333333333	0	n/a	19065	KeyDown	42431	1	Little	2
32.1366666666667	0	n/a	19283	KeyDown	42431	4	Index	2
32.3633333333333	0	n/a	19419	KeyDown	42431	1	Little	2
32.7266666666667	0	n/a	19637	KeyDown	42431	4	Index	2
33.1850000000000	0	n/a	19912	KeyDown	42431	3	Middle	2
33.4383333333333	0	n/a	20064	KeyDown	42431	1	Little	2
33.6583333333333	0	n/a	20196	KeyDown	42431	4	Index	2
33.7916666666667	0	n/a	20276	KeyDown	42431	1	Little	2
34.0300000000000	0	n/a	20419	KeyDown	42431	4	Index	2
34.3000000000000	0	n/a	20581	KeyDown	42431	3	Middle	2
34.4383333333333	0	n/a	20664	KeyDown	42431	1	Little	2
34.6450000000000	0	n/a	20788	KeyDown	42431	4	Index	2
34.9566666666667	0	n/a	20975	KeyDown	42431	1	Little	2
35.3050000000000	0	n/a	21184	KeyDown	42431	3	Middle	2
36.2166666666667	0	n/a	21731	KeyDown	42431	3	Middle	2
36.3600000000000	0	n/a	21817	KeyDown	42431	1	Little	2
36.6016666666667	0	n/a	21962	KeyDown	42431	4	Index	2
36.7416666666667	0	n/a	22046	KeyDown	42431	1	Little	2
36.8583333333333	0	n/a	22116	KeyDown	42431	4	Index	2
37.1816666666667	0	n/a	22310	KeyDown	42431	3	Middle	2
37.3016666666667	0	n/a	22382	KeyDown	42431	1	Little	2
37.4850000000000	0	n/a	22492	KeyDown	42431	4	Index	2
37.6950000000000	0	n/a	22618	KeyDown	42431	1	Little	2
37.9016666666667	0	n/a	22742	StopPractice	42431	n/a	n/a	2
37.9033333333333	0	n/a	22743	StartRest	XXXXX	n/a	n/a	2
47.9366666666667	0	n/a	28763	StopRest	XXXXX	n/a	n/a	2
47.9383333333333	0	UPPT001	28764	StartPractice	34231	n/a	n/a	3
49.8683333333333	0	n/a	29922	KeyDown	34231	3	Middle	3
50.1616666666667	0	n/a	30098	KeyDown	34231	4	Index	3
51.5233333333333	0	n/a	30915	KeyDown	34231	3	Middle	3
