onset	duration	channel	onset_sample_idx	event_type	target_sequence	keypress_id	finger_label	trial_number
16.6266666666667	0	UPPT001	9977	StartPractice	41324	n/a	n/a	1
17.8616666666667	0	n/a	10718	KeyDown	41324	4	Index	1
18.5200000000000	0	n/a	11113	KeyDown	41324	1	Little	1
20.6566666666667	0	n/a	12395	KeyDown	41324	3	Middle	1
22.2183333333333	0	n/a	13332	KeyDown	41324	4	Index	1
23.2583333333333	0	n/a	13956	KeyDown	41324	4	Index	1
23.7783333333333	0	n/a	14268	KeyDown	41324	1	Little	1
25.2733333333333	0	n/a	15165	KeyDown	41324	3	Middle	1
26.6650000000000	0	n/a	16000	StopPractice	41324	n/a	n/a	1
26.6666666666667	0	n/a	16001	StartRest	XXXXX	n/a	n/a	1
36.6900000000000	0	n/a	22015	StopRest	XXXXX	n/a	n/a	1
36.6916666666667	0	UPPT001	22016	StartPractice	41324	n/a	n/a	2
38.3133333333333	0	n/a	22989	KeyDown	41324	4	Index	2
38.9150000000000	0	n/a	23350	KeyDown	41324	1	Little	2
40.5250000000000	0	n/a	24316	KeyDown	41324	3	Middle	2
41.1433333333333	0	n/a	24687	KeyDown	41324	2	Ring	2
41.8750000000000	0	n/a	25126	KeyDown	41324	4	Index	2
42.7883333333333	0	n/a	25674	KeyDown	41324	4	Index	2
43.4183333333333	0	n/a	26052	KeyDown	41324	1	Little	2
44.3150000000000	0	n/a	26590	KeyDown	41324	3	Middle	2
44.7650000000000	0	n/a	26860	KeyDown	41324	2	Ring	2
45.2983333333333	0	n/a	27180	KeyDown	41324	4	Index	2
45.9800000000000	0	n/a	27589	KeyDown	41324	4	Index	2
46.7300000000000	0	n/a	28039	StopPractice	41324	n/a	n/a	2
46.7316666666667	0	n/a	28040	StartRest	XXXXX	n/a	n/a	2
56.7650000000000	0	n/a	34060	StopRest	XXXXX	n/a	n/a	2
56.7666666666667	0	UPPT001	34061	StartPractice	41324	n/a	n/a	3
57.7250000000000	0	n/a	34636	KeyDown	41324	4	Index	3
58.1883333333333	0	n/a	34914	KeyDown	41324	1	Little	3
60.5950000000000	0	n/a	36358	KeyDown	41324	3	Middle	3
60.7350000000000	0	n/a	36442	KeyDown	41324	2	Ring	3
60.9566666666667	0	n/a	36575	KeyDown	41324	4	Index	3
61.3750000000000	0	n/a	36826	KeyDown	41324	4	Index	3
61.9933333333333	0	n/a	37197	KeyDown	41324	1	Little	3
62.5350000000000	0	n/a	37522	KeyDown	41324	3	Middle	3
62.9183333333333	0	n/a	37752	KeyDown	41324	2	Ring	3
63.3650000000000	0	n/a	38020	KeyDown	41324	4	Index	3
64.0066666666667	0	n/a	38405	KeyDown	41324	4	Index	3
64.8300000000000	0	n/a	38899	KeyDown	41324	1	Little	3
66.2183333333333	0	n/a	39732	KeyDown	41324	3	Middle	3
66.8050000000000	0	n/a	40084	StopPractice	41324	n/a	n/a	3
66.8066666666667	0	n/a	40085	StartRest	XXXXX	n/a	n/a	3
76.8383333333333	0	n/a	46104	StopRest	XXXXX	n/a	n/a	3
76.8400000000000	0	UPPT001	46105	StartPractice	41324	n/a	n/a	4
78.0816666666667	0	n/a	46850	KeyDown	41324	4	Index	4
78.8083333333333	0	n/a	47286	KeyDown	41324	1	Little	4
