name	type	units	sampling_frequency	description
UPPT001	TRIG	unknown	600	N/A
SCLK01	SYSCLOCK	s	600	N/A
BG1	MEGREFMAG	T	600	N/A
BG2	MEGREFMAG	T	600	N/A
BG3	MEGREFMAG	T	600	N/A
BP1	MEGREFMAG	T	600	N/A
BP2	MEGREFMAG	T	600	N/A
BP3	MEGREFMAG	T	600	N/A
BR1	MEGREFMAG	T	600	N/A
BR2	MEGREFMAG	T	600	N/A
BR3	MEGREFMAG	T	600	N/A
G11	MEGREFGRADAXIAL	T	600	N/A
G12	MEGREFGRADAXIAL	T	600	N/A
G13	MEGREFGRADAXIAL	T	600	N/A
G22	MEGREFGRADAXIAL	T	600	N/A
G23	MEGREFGRADAXIAL	T	600	N/A
P11	MEGREFGRADAXIAL	T	600	N/A
P12	MEGREFGRADAXIAL	T	600	N/A
P22	MEGREFGRADAXIAL	T	600	N/A
P23	MEGREFGRADAXIAL	T	600	N/A
Q11	MEGREFGRADAXIAL	T	600	N/A
Q12	MEGREFGRADAXIAL	T	600	N/A
Q13	MEGREFGRADAXIAL	T	600	N/A
Q22	MEGREFGRADAXIAL	T	600	N/A
Q23	MEGREFGRADAXIAL	T	600	N/A
R11	MEGREFGRADAXIAL	T	600	N/A
R12	MEGREFGRADAXIAL	T	600	N/A
R13	MEGREFGRADAXIAL	T	600	N/A
R22	MEGREFGRADAXIAL	T	600	N/A
R23	MEGREFGRADAXIAL	T	600	N/A
MLC11	MEGGRADAXIAL	T	600	N/A
MLC12	MEGGRADAXIAL	T	600	N/A
MLC13	MEGGRADAXIAL	T	600	N/A
MLC14	MEGGRADAXIAL	T	600	N/A
MLC15	MEGGRADAXIAL	T	600	N/A
MLC16	MEGGRADAXIAL	T	600	N/A
MLC17	MEGGRADAXIAL	T	600	N/A
MLC21	MEGGRADAXIAL	T	600	N/A
MLC22	MEGGRADAXIAL	T	600	N/A
MLC23	MEGGRADAXIAL	T	600	N/A
MLC24	MEGGRADAXIAL	T	600	N/A
MLC25	MEGGRADAXIAL	T	600	N/A
MLC31	MEGGRADAXIAL	T	600	N/A
MLC32	MEGGRADAXIAL	T	600	N/A
MLC41	MEGGRADAXIAL	T	600	N/A
MLC42	MEGGRADAXIAL	T	600	N/A
MLC51	MEGGRADAXIAL	T	600	N/A
MLC52	MEGGRADAXIAL	T	600	N/A
MLC53	MEGGRADAXIAL	T	600	N/A
MLC54	MEGGRADAXIAL	T	600	N/A
MLC55	MEGGRADAXIAL	T	600	N/A
MLC61	MEGGRADAXIAL	T	600	N/A
MLC62	MEGGRADAXIAL	T	600	N/A
MLC63	MEGGRADAXIAL	T	600	N/A
MLF11	MEGGRADAXIAL	T	600	N/A
MLF12	MEGGRADAXIAL	T	600	N/A
MLF13	MEGGRADAXIAL	T	600	N/A
MLF14	MEGGRADAXIAL	T	600	N/A
MLF21	MEGGRADAXIAL	T	600	N/A
MLF22	MEGGRADAXIAL	T	600	N/A
MLF23	MEGGRADAXIAL	T	600	N/A
MLF24	MEGGRADAXIAL	T	600	N/A
MLF31	MEGGRADAXIAL	T	600	N/A
MLF32	MEGGRADAXIAL	T	600	N/A
MLF33	MEGGRADAXIAL	T	600	N/A
MLF34	MEGGRADAXIAL	T	600	N/A
MLF35	MEGGRADAXIAL	T	600	N/A
MLF41	MEGGRADAXIAL	T	600	N/A
MLF42	MEGGRADAXIAL	T	600	N/A
MLF43	MEGGRADAXIAL	T	600	N/A
MLF44	MEGGRADAXIAL	T	600	N/A
MLF45	MEGGRADAXIAL	T	600	N/A
MLF46	MEGGRADAXIAL	T	600	N/A
MLF51	MEGGRADAXIAL	T	600	N/A
MLF52	MEGGRADAXIAL	T	600	N/A
MLF53	MEGGRADAXIAL	T	600	N/A
MLF54	MEGGRADAXIAL	T	600	N/A
MLF55	MEGGRADAXIAL	T	600	N/A
MLF56	MEGGRADAXIAL	T	600	N/A
MLF61	MEGGRADAXIAL	T	600	N/A
MLF62	MEGGRADAXIAL	T	600	N/A
MLF63	MEGGRADAXIAL	T	600	N/A
MLF64	MEGGRADAXIAL	T	600	N/A
MLF65	MEGGRADAXIAL	T	600	N/A
MLF66	MEGGRADAXIAL	T	600	N/A
MLF67	MEGGRADAXIAL	T	600	N/A
MLO11	MEGGRADAXIAL	T	600	N/A
MLO12	MEGGRADAXIAL	T	600	N/A
MLO13	MEGGRADAXIAL	T	600	N/A
MLO14	MEGGRADAXIAL	T	600	N/A
MLO21	MEGGRADAXIAL	T	600	N/A
MLO22	MEGGRADAXIAL	T	600	N/A
MLO23	MEGGRADAXIAL	T	600	N/A
MLO24	MEGGRADAXIAL	T	600	N/A
MLO31	MEGGRADAXIAL	T	600	N/A
MLO32	MEGGRADAXIAL	T	600	N/A
MLO33	MEGGRADAXIAL	T	600	N/A
MLO34	MEGGRADAXIAL	T	600	N/A
MLO41	MEGGRADAXIAL	T	600	N/A
MLO42	MEGGRADAXIAL	T	600	N/A
MLO43	MEGGRADAXIAL	T	600	N/A
MLO44	MEGGRADAXIAL	T	600	N/A
MLO51	MEGGRADAXIAL	T	600	N/A
MLO52	MEGGRADAXIAL	T	600	N/A
MLO53	MEGGRADAXIAL	T	600	N/A
MLP11	MEGGRADAXIAL	T	600	N/A
MLP12	MEGGRADAXIAL	T	600	N/A
MLP21	MEGGRADAXIAL	T	600	N/A
MLP22	MEGGRADAXIAL	T	600	N/A
MLP23	MEGGRADAXIAL	T	600	N/A
MLP31	MEGGRADAXIAL	T	600	N/A
MLP32	MEGGRADAXIAL	T	600	N/A
MLP33	MEGGRADAXIAL	T	600	N/A
MLP34	MEGGRADAXIAL	T	600	N/A
MLP35	MEGGRADAXIAL	T	600	N/A
MLP41	MEGGRADAXIAL	T	600	N/A
MLP42	MEGGRADAXIAL	T	600	N/A
MLP43	MEGGRADAXIAL	T	600	N/A
MLP44	MEGGRADAXIAL	T	600	N/A
MLP45	MEGGRADAXIAL	T	600	N/A
MLP51	MEGGRADAXIAL	T	600	N/A
MLP52	MEGGRADAXIAL	T	600	N/A
MLP53	MEGGRADAXIAL	T	600	N/A
MLP54	MEGGRADAXIAL	T	600	N/A
MLP55	MEGGRADAXIAL	T	600	N/A
MLP56	MEGGRADAXIAL	T	600	N/A
MLP57	MEGGRADAXIAL	T	600	N/A
MLT11	MEGGRADAXIAL	T	600	N/A
MLT12	MEGGRADAXIAL	T	600	N/A
MLT13	MEGGRADAXIAL	T	600	N/A
MLT14	MEGGRADAXIAL	T	600	N/A
MLT15	MEGGRADAXIAL	T	600	N/A
MLT16	MEGGRADAXIAL	T	600	N/A
MLT21	MEGGRADAXIAL	T	600	N/A
MLT22	MEGGRADAXIAL	T	600	N/A
MLT23	MEGGRADAXIAL	T	600	N/A
MLT24	MEGGRADAXIAL	T	600	N/A
MLT25	MEGGRADAXIAL	T	600	N/A
MLT26	MEGGRADAXIAL	T	600	N/A
MLT27	MEGGRADAXIAL	T	600	N/A
MLT31	MEGGRADAXIAL	T	600	N/A
MLT32	MEGGRADAXIAL	T	600	N/A
MLT33	MEGGRADAXIAL	T	600	N/A
MLT34	MEGGRADAXIAL	T	600	N/A
MLT35	MEGGRADAXIAL	T	600	N/A
MLT36	MEGGRADAXIAL	T	600	N/A
MLT37	MEGGRADAXIAL	T	600	N/A
MLT41	MEGGRADAXIAL	T	600	N/A
MLT42	MEGGRADAXIAL	T	600	N/A
MLT43	MEGGRADAXIAL	T	600	N/A
MLT44	MEGGRADAXIAL	T	600	N/A
MLT45	MEGGRADAXIAL	T	600	N/A
MLT46	MEGGRADAXIAL	T	600	N/A
MLT47	MEGGRADAXIAL	T	600	N/A
MLT51	MEGGRADAXIAL	T	600	N/A
MLT52	MEGGRADAXIAL	T	600	N/A
MLT53	MEGGRADAXIAL	T	600	N/A
MLT54	MEGGRADAXIAL	T	600	N/A
MLT55	MEGGRADAXIAL	T	600	N/A
MLT56	MEGGRADAXIAL	T	600	N/A
MLT57	MEGGRADAXIAL	T	600	N/A
MRC11	MEGGRADAXIAL	T	600	N/A
MRC12	MEGGRADAXIAL	T	600	N/A
MRC13	MEGGRADAXIAL	T	600	N/A
MRC14	MEGGRADAXIAL	T	600	N/A
MRC15	MEGGRADAXIAL	T	600	N/A
MRC16	MEGGRADAXIAL	T	600	N/A
MRC17	MEGGRADAXIAL	T	600	N/A
MRC21	MEGGRADAXIAL	T	600	N/A
MRC22	MEGGRADAXIAL	T	600	N/A
MRC23	MEGGRADAXIAL	T	600	N/A
MRC24	MEGGRADAXIAL	T	600	N/A
MRC25	MEGGRADAXIAL	T	600	N/A
MRC31	MEGGRADAXIAL	T	600	N/A
MRC32	MEGGRADAXIAL	T	600	N/A
MRC41	MEGGRADAXIAL	T	600	N/A
MRC42	MEGGRADAXIAL	T	600	N/A
MRC51	MEGGRADAXIAL	T	600	N/A
MRC52	MEGGRADAXIAL	T	600	N/A
MRC53	MEGGRADAXIAL	T	600	N/A
MRC54	MEGGRADAXIAL	T	600	N/A
MRC55	MEGGRADAXIAL	T	600	N/A
MRC61	MEGGRADAXIAL	T	600	N/A
MRC62	MEGGRADAXIAL	T	600	N/A
MRC63	MEGGRADAXIAL	T	600	N/A
MRF11	MEGGRADAXIAL	T	600	N/A
MRF12	MEGGRADAXIAL	T	600	N/A
MRF13	MEGGRADAXIAL	T	600	N/A
MRF14	MEGGRADAXIAL	T	600	N/A
MRF21	MEGGRADAXIAL	T	600	N/A
MRF22	MEGGRADAXIAL	T	600	N/A
MRF23	MEGGRADAXIAL	T	600	N/A
MRF24	MEGGRADAXIAL	T	600	N/A
