onset	duration	channel	onset_sample_idx	event_type	target_sequence	keypress_id	finger_label	trial_number
11.7200000000000	0	UPPT001	7033	StartPractice	21342	n/a	n/a	1
13.1416666666667	0	n/a	7886	KeyDown	21342	2	Ring	1
13.6116666666667	0	n/a	8168	KeyDown	21342	1	Little	1
14.1133333333333	0	n/a	8469	KeyDown	21342	3	Middle	1
14.6150000000000	0	n/a	8770	KeyDown	21342	4	Index	1
-120.0000000000000	0	n/a	NaN	KeyDown	21342	2	Ring	1
-120.0000000000000	0	n/a	NaN	KeyDown	21342	2	Ring	1
17.8316666666667	0	n/a	10700	KeyDown	21342	1	Little	1
18.9350000000000	0	n/a	11362	KeyDown	21342	3	Middle	1
20.5333333333333	0	n/a	12321	KeyDown	21342	4	Index	1
21.7583333333333	0	n/a	13056	StopPractice	21342	n/a	n/a	1
21.7600000000000	0	n/a	13057	StartRest	XXXXX	n/a	n/a	1
31.7816666666667	0	n/a	19070	StopRest	XXXXX	n/a	n/a	1
31.7833333333333	0	UPPT001	19071	StartPractice	42431	n/a	n/a	2
32.8516666666667	0	n/a	19712	KeyDown	42431	4	Index	2
33.3866666666667	0	n/a	20033	KeyDown	42431	2	Ring	2
33.8466666666667	0	n/a	20309	KeyDown	42431	4	Index	2
34.2466666666667	0	n/a	20549	KeyDown	42431	3	Middle	2
34.6300000000000	0	n/a	20779	KeyDown	42431	1	Little	2
35.2566666666667	0	n/a	21155	KeyDown	42431	4	Index	2
35.8716666666667	0	n/a	21524	KeyDown	42431	2	Ring	2
36.5166666666667	0	n/a	21911	KeyDown	42431	4	Index	2
37.0316666666667	0	n/a	22220	KeyDown	42431	3	Middle	2
37.4916666666667	0	n/a	22496	KeyDown	42431	1	Little	2
37.9050000000000	0	n/a	22744	KeyDown	42431	4	Index	2
39.0566666666667	0	n/a	23435	KeyDown	42431	4	Index	2
39.6183333333333	0	n/a	23772	KeyDown	42431	3	Middle	2
40.0566666666667	0	n/a	24035	KeyDown	42431	1	Little	2
40.4966666666667	0	n/a	24299	KeyDown	42431	4	Index	2
40.9816666666667	0	n/a	24590	KeyDown	42431	2	Ring	2
41.6116666666667	0	n/a	24968	KeyDown	42431	4	Index	2
41.8216666666667	0	n/a	25094	StopPractice	42431	n/a	n/a	2
41.8233333333333	0	n/a	25095	StartRest	XXXXX	n/a	n/a	2
51.8550000000000	0	n/a	31114	StopRest	XXXXX	n/a	n/a	2
51.8566666666667	0	UPPT001	31115	StartPractice	34231	n/a	n/a	3
53.0200000000000	0	n/a	31813	KeyDown	34231	3	Middle	3
53.9850000000000	0	n/a	32392	KeyDown	34231	4	Index	3
54.8500000000000	0	n/a	32911	KeyDown	34231	2	Ring	3
55.4250000000000	0	n/a	33256	KeyDown	34231	3	Middle	3
55.7933333333333	0	n/a	33477	KeyDown	34231	1	Little	3
56.5633333333333	0	n/a	33939	KeyDown	34231	3	Middle	3
57.3050000000000	0	n/a	34384	KeyDown	34231	4	Index	3
58.6500000000000	0	n/a	35191	KeyDown	34231	3	Middle	3
59.0033333333333	0	n/a	35403	KeyDown	34231	1	Little	3
59.7300000000000	0	n/a	35839	KeyDown	34231	3	Middle	3
60.2750000000000	0	n/a	36166	KeyDown	34231	4	Index	3
61.2883333333333	0	n/a	36774	KeyDown	34231	2	Ring	3
61.8950000000000	0	n/a	37138	StopPractice	34231	n/a	n/a	3
61.8966666666667	0	n/a	37139	StartRest	XXXXX	n/a	n/a	3
71.9316666666667	0	n/a	43160	StopRest	XXXXX	n/a	n/a	3
71.9333333333333	0	UPPT001	43161	StartPractice	14342	n/a	n/a	4
72.7033333333333	0	n/a	43623	KeyDown	14342	1	Little	4
73.1016666666667	0	n/a	43862	KeyDown	14342	4	Index	4
73.9400000000000	0	n/a	44365	KeyDown	14342	3	Middle	4
74.7300000000000	0	n/a	44839	KeyDown	14342	4	Index	4
75.2466666666667	0	n/a	45149	KeyDown	14342	2	Ring	4
75.9550000000000	0	n/a	45574	KeyDown	14342	1	Little	4
76.4266666666667	0	n/a	45857	KeyDown	14342	4	Index	4
77.2183333333333	0	n/a	46332	KeyDown	14342	3	Middle	4
78.1200000000000	0	n/a	46873	KeyDown	14342	4	Index	4
78.7966666666667	0	n/a	47279	KeyDown	14342	2	Ring	4
79.8500000000000	0	n/a	47911	KeyDown	14342	1	Little	4
80.3516666666667	0	n/a	48212	KeyDown	14342	4	Index	4
80.7850000000000	0	n/a	48472	KeyDown	14342	3	Middle	4
81.2600000000000	0	n/a	48757	KeyDown	14342	4	Index	4
81.9716666666667	0	n/a	49184	StopPractice	14342	n/a	n/a	4
81.9733333333333	0	n/a	49185	StartRest	XXXXX	n/a	n/a	4
92.0050000000000	0	n/a	55204	StopRest	XXXXX	n/a	n/a	4
92.0066666666667	0	UPPT001	55205	StartPractice	32431	n/a	n/a	5
93.2083333333333	0	n/a	55926	KeyDown	32431	3	Middle	5
93.7150000000000	0	n/a	56230	KeyDown	32431	2	Ring	5
94.1750000000000	0	n/a	56506	KeyDown	32431	4	Index	5
94.6983333333333	0	n/a	56820	KeyDown	32431	3	Middle	5
95.1100000000000	0	n/a	57067	KeyDown	32431	1	Little	5
95.7583333333333	0	n/a	57456	KeyDown	32431	3	Middle	5
96.3016666666667	0	n/a	57782	KeyDown	32431	2	Ring	5
96.7183333333333	0	n/a	58032	KeyDown	32431	4	Index	5
97.2500000000000	0	n/a	58351	KeyDown	32431	3	Middle	5
97.6050000000000	0	n/a	58564	KeyDown	32431	1	Little	5
98.0083333333333	0	n/a	58806	KeyDown	32431	3	Middle	5
98.8200000000000	0	n/a	59293	KeyDown	32431	2	Ring	5
99.2500000000000	0	n/a	59551	KeyDown	32431	4	Index	5
99.5900000000000	0	n/a	59755	KeyDown	32431	3	Middle	5
99.9650000000000	0	n/a	59980	KeyDown	32431	1	Little	5
100.3933333333333	0	n/a	60237	KeyDown	32431	3	Middle	5
101.2666666666667	0	n/a	60761	KeyDown	32431	2	Ring	5
101.7250000000000	0	n/a	61036	KeyDown	32431	4	Index	5
102.0450000000000	0	n/a	61228	StopPractice	32431	n/a	n/a	5
102.0466666666667	0	n/a	61229	StartRest	XXXXX	n/a	n/a	5
112.0800000000000	0	n/a	67249	StopRest	XXXXX	n/a	n/a	5
112.0816666666667	0	UPPT001	67250	StartPractice	14231	n/a	n/a	6
114.4850000000000	0	n/a	68692	KeyDown	14231	4	Index	6
116.3066666666667	0	n/a	69785	KeyDown	14231	1	Little	6
117.0283333333333	0	n/a	70218	KeyDown	14231	4	Index	6
117.9750000000000	0	n/a	70786	KeyDown	14231	2	Ring	6
118.4250000000000	0	n/a	71056	KeyDown	14231	3	Middle	6
118.9516666666667	0	n/a	71372	KeyDown	14231	1	Little	6
120.0283333333333	0	n/a	72018	KeyDown	14231	1	Little	6
120.6116666666667	0	n/a	72368	KeyDown	14231	4	Index	6
122.1033333333333	0	n/a	73263	KeyDown	14231	2	Ring	6
122.1200000000000	0	n/a	73273	StopPractice	14231	n/a	n/a	6
122.1216666666667	0	n/a	73274	StartRest	XXXXX	n/a	n/a	6
132.1550000000000	0	n/a	79294	StopRest	XXXXX	n/a	n/a	6
132.1566666666667	0	UPPT001	79295	StartPractice	32421	n/a	n/a	7
133.3700000000000	0	n/a	80023	KeyDown	32421	3	Middle	7
133.8333333333333	0	n/a	80301	KeyDown	32421	2	Ring	7
134.2433333333333	0	n/a	80547	KeyDown	32421	4	Index	7
135.1783333333333	0	n/a	81108	KeyDown	32421	1	Little	7
135.9300000000000	0	n/a	81559	KeyDown	32421	3	Middle	7
136.7650000000000	0	n/a	82060	KeyDown	32421	4	Index	7
137.2533333333333	0	n/a	82353	KeyDown	32421	2	Ring	7
137.4750000000000	0	n/a	82486	KeyDown	32421	1	Little	7
138.4150000000000	0	n/a	83050	KeyDown	32421	3	Middle	7
139.0050000000000	0	n/a	83404	KeyDown	32421	2	Ring	7
139.4883333333333	0	n/a	83694	KeyDown	32421	4	Index	7
140.3766666666667	0	n/a	84227	KeyDown	32421	1	Little	7
141.0616666666667	0	n/a	84638	KeyDown	32421	3	Middle	7
141.7350000000000	0	n/a	85042	KeyDown	32421	2	Ring	7
142.1950000000000	0	n/a	85318	StopPractice	32421	n/a	n/a	7
142.1966666666667	0	n/a	85319	StartRest	XXXXX	n/a	n/a	7
152.2300000000000	0	n/a	91339	StopRest	XXXXX	n/a	n/a	7
152.2316666666667	0	UPPT001	91340	StartPractice	23142	n/a	n/a	8
153.7950000000000	0	n/a	92278	KeyDown	23142	3	Middle	8
154.1816666666667	0	n/a	92510	KeyDown	23142	1	Little	8
154.8383333333333	0	n/a	92904	KeyDown	23142	4	Index	8
