onset	duration	sample	type	value
7.99666666666667	n/a	4799	frontpanel trigger	2
7.99666666666667	n/a	4799	UPPT001	2
28.07	n/a	16843	frontpanel trigger	2
28.07	n/a	16843	UPPT001	2
48.1433333333333	n/a	28887	frontpanel trigger	2
48.1433333333333	n/a	28887	UPPT001	2
68.2183333333333	n/a	40932	frontpanel trigger	2
68.2183333333333	n/a	40932	UPPT001	2
88.2933333333333	n/a	52977	frontpanel trigger	2
88.2933333333333	n/a	52977	UPPT001	2
108.37	n/a	65023	frontpanel trigger	2
108.37	n/a	65023	UPPT001	2
128.443333333333	n/a	77067	frontpanel trigger	2
128.443333333333	n/a	77067	UPPT001	2
148.518333333333	n/a	89112	frontpanel trigger	2
148.518333333333	n/a	89112	UPPT001	2
168.593333333333	n/a	101157	frontpanel trigger	2
168.593333333333	n/a	101157	UPPT001	2
